Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
2019-03-14,Groceries,428.0,INR,0.0,214.0,0.0,-214.0
2019-03-16,Water,100.0,INR,0.0,66.66,-33.33,-33.33
2019-03-17,Dining out,178.0,INR,0.0,89.0,0.0,-89.0
2019-03-17,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2019-03-17,Dining out,380.0,INR,0.0,190.0,0.0,-190.0
2019-03-17,Dining out,80.0,INR,0.0,40.0,0.0,-40.0
2019-03-18,Dining out,248.0,INR,0.0,124.0,0.0,-124.0
2019-03-23,Dining out,248.0,INR,0.0,124.0,0.0,-124.0
2019-03-24,Groceries,271.0,INR,0.0,-90.33,180.66,-90.33
2019-03-24,Electricity,721.0,INR,0.0,-240.33,480.66,-240.33
2019-03-28,Groceries,400.0,INR,0.0,-133.33,266.66,-133.33
2019-03-28,General,50.0,INR,0.0,-16.67,-16.67,33.34
2019-03-30,TV/Phone/Internet,290.0,INR,0.0,-145.0,290.0,-145.0
2019-03-31,Rent,9500.0,INR,0.0,-3166.67,6333.33,-3166.66
2019-04-02,Water,50.0,INR,0.0,-16.67,-16.66,33.33
2019-04-04,General,5020.0,INR,0.0,-1673.33,3346.67,-1673.34
2019-04-10,Dining out,145.0,INR,0.0,72.5,-72.5,0.0
2019-04-11,Groceries,144.0,INR,0.0,-48.0,-48.0,96.0
2019-04-11,Water,100.0,INR,0.0,-33.34,-33.33,66.67
2019-04-13,TV/Phone/Internet,84.0,INR,0.0,-28.0,-28.0,56.0
2019-04-13,Groceries,190.0,INR,0.0,95.0,-95.0,0.0
2019-04-13,Groceries,110.0,INR,0.0,-36.67,73.33,-36.66
2019-04-14,Dining out,250.0,INR,0.0,166.67,-83.33,-83.34
2019-04-17,Electricity,958.0,INR,0.0,-319.33,638.66,-319.33
2019-04-26,General,100.0,INR,0.0,-33.33,-33.34,66.67
2019-04-27,Dining out,230.0,INR,0.0,-76.66,-46.67,123.33
2019-04-29,General,359.0,INR,0.0,-119.67,239.34,-119.67
2019-05-01,General,103.0,INR,77.25,-25.75,-25.75,-25.75
2019-05-01,Dining out,600.0,INR,-139.53,0.0,279.07,-139.54
2019-05-03,Rent,9500.0,INR,0.0,-3166.67,6333.33,-3166.66
2019-05-06,General,80.0,INR,-20.0,-20.0,-20.0,60.0
2019-05-06,General,44.0,INR,33.0,-11.0,-11.0,-11.0
2019-05-09,Dining out,200.0,INR,-66.67,0.0,133.33,-66.66
2019-05-17,General,60.0,INR,-20.0,0.0,40.0,-20.0
2019-05-18,General,50.0,INR,-12.5,-12.5,-12.5,37.5
2019-05-19,Dining out,785.0,INR,-261.67,0.0,523.33,-261.66
2019-05-19,Household supplies,1838.0,INR,-459.5,-459.5,1378.5,-459.5
2019-05-19,Household supplies,514.0,INR,-171.33,0.0,342.67,-171.34
2019-05-19,Dining out,135.0,INR,-45.0,0.0,90.0,-45.0
2019-05-21,General,59.0,INR,-14.75,-14.75,-14.75,44.25
2019-05-21,General,64.0,INR,-21.33,0.0,-21.33,42.66
2019-05-22,Electricity,987.0,INR,-246.75,-246.75,740.25,-246.75
2019-05-23,General,81.0,INR,-20.25,-20.25,60.75,-20.25
2019-05-24,General,100.0,INR,-25.0,-25.0,75.0,-25.0
2019-05-25,General,260.0,INR,-86.67,0.0,173.34,-86.67
2019-05-29,Dining out,240.0,INR,0.0,-80.0,160.0,-80.0
2019-06-03,Rent,9500.0,INR,-2375.0,-2375.0,7125.0,-2375.0
2019-06-05,Dining out,390.0,INR,-130.0,0.0,260.0,-130.0
2019-06-05,Movies,820.0,INR,-205.0,-205.0,615.0,-205.0
2019-06-05,General,284.8,INR,213.6,-71.2,-71.2,-71.2
2019-06-05,Groceries,332.0,INR,-83.0,-83.0,249.0,-83.0
2019-06-05,Dining out,838.0,INR,-279.33,0.0,558.66,-279.33
2019-06-12,Dining out,155.0,INR,-31.25,-61.25,123.75,-31.25
2019-06-12,Dining out,115.0,INR,-28.75,-28.75,86.25,-28.75
2019-06-12,Groceries,100.0,INR,-33.34,0.0,66.67,-33.33
2019-06-12,Groceries,100.0,INR,-25.0,-25.0,75.0,-25.0
2019-06-12,General,196.0,INR,-65.33,0.0,130.67,-65.34
2019-06-14,General,623.0,INR,-155.75,-155.75,467.25,-155.75
2019-06-14,Groceries,320.0,INR,-80.0,-80.0,240.0,-80.0
2019-06-14,Dining out,209.0,INR,156.75,-52.25,-52.25,-52.25
2019-06-15,General,293.0,INR,-73.25,-73.25,-73.25,219.75
2019-06-15,General,530.0,INR,-132.5,-132.5,397.5,-132.5
2019-06-17,General,1288.0,INR,0.0,-644.0,644.0,0.0
2019-06-17,Groceries,231.0,INR,173.25,-57.75,-57.75,-57.75
2019-06-18,Dining out,418.0,INR,-104.5,-104.5,313.5,-104.5
2019-06-19,TV/Phone/Internet,259.0,INR,-64.75,-64.75,194.25,-64.75
2019-06-19,General,223.0,INR,-74.33,0.0,148.66,-74.33
2019-06-20,General,110.0,INR,-27.5,-27.5,-27.5,82.5
2019-06-21,Electricity,1047.0,INR,-261.75,-261.75,785.25,-261.75
2019-06-21,General,462.0,INR,346.5,-115.5,-115.5,-115.5
2019-06-22,Groceries,200.0,INR,-50.0,-50.0,150.0,-50.0
2019-06-23,Dining out,185.0,INR,-20.0,-55.0,-55.0,130.0
2019-06-23,General,549.0,INR,-274.5,274.5,0.0,0.0
2019-06-23,General,326.0,INR,244.5,-81.5,-81.5,-81.5
2019-06-23,General,378.0,INR,283.5,-94.5,-94.5,-94.5
2019-06-25,Groceries,100.0,INR,-25.0,-25.0,75.0,-25.0
2019-06-25,TV/Phone/Internet,240.0,INR,-80.0,0.0,160.0,-80.0
2019-06-26,Groceries,64.0,INR,-21.33,0.0,42.66,-21.33
2019-06-28,Movies,730.0,INR,-243.34,0.0,486.67,-243.33
2019-07-03,Rent,9500.0,INR,-2375.0,-2375.0,7125.0,-2375.0
2019-07-03,Groceries,280.0,INR,-93.33,0.0,186.67,-93.34
2019-07-07,General,180.0,INR,-60.0,0.0,120.0,-60.0
2019-07-10,General,180.0,INR,-60.0,0.0,120.0,-60.0
2019-07-10,Groceries,100.0,INR,-25.0,-25.0,75.0,-25.0
2019-07-12,General,341.0,INR,255.75,-85.25,-85.25,-85.25
2019-07-14,Dining out,330.0,INR,-82.5,-82.5,247.5,-82.5
2019-07-14,General,596.0,INR,-198.67,0.0,397.34,-198.67
2019-07-14,Groceries,1492.0,INR,-373.0,-373.0,1119.0,-373.0
2019-07-14,Dining out,140.0,INR,-35.0,-35.0,105.0,-35.0
2019-07-14,General,264.0,INR,198.0,-66.0,-66.0,-66.0
2019-07-16,General,770.0,INR,-192.5,-192.5,577.5,-192.5
2019-07-20,General,933.0,INR,-233.25,-233.25,699.75,-233.25
